ID,Rel_News
11,cts_esy_19981120_0001 cts_for_19980714_0007 chd_pol_19980515_0036 chd_pol_19980917_0051 chd_edu_19981210_0009 cts_foc_19980814_0010 chd_med_19990129_0003 cts_foc_19980929_0006 cdn_eco_19990324_0007 cdn_for_19990116_0002 cts_pol_19980818_0002 cdn_foc_19980930_0028 cts_soc_19980614_0012 ctc_mnf_19981015_0008 cts_foc_19980930_0011 ctc_mnf_19990116_0005 cts_soc_19980925_0012 ctc_chi_19981211_0001 cts_int_19990304_0006 cts_chi_19981220_0004 chd_pol_19980930_0012 cts_soc_19970605_0003 cdn_foc_19990331_0021 ctc_tec_19981027_0015 cts_int_19990107_0004 cts_ent_19980816_0007 chd_pol_19980930_0013 chd_pol_19981121_0033 cts_chi_19981216_0006 cte_foc_19980929_0006 cts_ent_19981220_0002 cts_int_19990108_0002 chd_int_19980708_0001 chd_pol_19981001_0005 cdn_foc_19980929_0028 chd_chi_19980605_0001 cts_soc_19980617_0025 cts_art_19981027_0005 cdn_eco_19981010_0008 chd_edu_19981222_0008 chd_pol_19990331_0002 cts_soc_19980614_0006 cts_esy_19980820_0001 chd_int_19980620_0003 cts_foc_19990317_0004 ctc_eco_19980617_0001 chd_pol_19990122_0015 chd_pol_19990324_0021 cdn_eco_19981127_0006 cts_int_19990222_0004 cts_int_19990222_0005 cts_for_19980707_0007 ctc_foc_19990501_0006 cts_soc_19980617_0024 ctc_foc_19990418_0001 chd_edu_19980620_0011 chd_spo_19980612_0013 chd_for_19981212_0002 cdn_foc_19990331_0001 cts_ent_19990314_0010 cdn_eco_19990320_0003 chd_med_19981220_0007 cdn_chi_19980803_0005 cts_soc_19980812_0013 cts_ent_19990112_0015 chd_ent_19990112_0003 cte_foc_19990115_0006 cts_for_19981127_0003 ctc_chi_19980522_0006 cts_soc_19980829_0016 chd_pol_19980826_0020 cdn_soc_19981229_0011 cts_for_19981006_0007 chd_chi_19980517_0003 cts_int_19980507_0001 chd_med_19980910_0001 chd_pol_19981012_0012 cts_eco_19980904_0005 chd_for_19990403_0001 cts_soc_19980712_0004 cdn_chi_19980719_0006 chd_med_19980626_0011 cts_soc_19981209_0005 cts_soc_19980827_0025 chd_med_19990111_0012 cdn_for_19980826_0001 cte_foc_19990105_0009 chd_soc_19980815_0003 chd_soc_19981009_0008 ctc_cgo_19990310_0002 cts_for_19980609_0004 chd_edu_19990326_0001 chd_med_19980604_0001 cts_chi_19981007_0002 cts_eco_19990501_0007 cts_pol_19980915_0002 ctc_chi_19990126_0008 cts_for_19980818_0004 cts_int_19990303_0011 cts_foc_19980818_0013 
12,cts_pol_19990210_0004 cts_foc_19990201_0003 cts_int_19981124_0006 cts_foc_19990408_0010 ctc_dep_19990128_0006 cts_for_19990226_0006 cts_foc_19980627_0005 cts_foc_19990201_0001 ctc_foc_19981019_0005 cts_for_19981030_0009 cts_chi_19980828_0001 cdn_foc_19990208_0006 cts_foc_19990201_0002 cdn_foc_19990210_0001 cdn_foc_19990223_0015 chd_pol_19981015_0013 chd_int_19990217_0002 chd_pol_19990321_0023 cts_foc_19990203_0004 chd_chi_19981106_0001 cts_for_19980802_0006 cdn_foc_19990211_0008 cts_int_19980604_0005 cts_foc_19990204_0001 chd_pol_19990129_0001 cts_foc_19990201_0004 cts_foc_19990203_0006 cdn_foc_19980616_0003 cts_pol_19990302_0006 cts_foc_19990204_0002 chd_pol_19980728_0014 cts_foc_19981019_0011 cdn_foc_19980720_0004 cts_pol_19990204_0004 chd_pol_19990203_0004 cdn_foc_19990128_0001 cts_chi_19981218_0005 cts_pol_19990201_0002 cdn_foc_19990214_0002 cts_chi_19980713_0006 cts_for_19981022_0007 cts_for_19980623_0007 cts_foc_19990204_0005 cts_pol_19990205_0021 cts_foc_19990408_0014 cts_pol_19990205_0001 cts_int_19990223_0005 cdn_chi_19990211_0003 cts_foc_19990210_0023 cts_int_19990130_0008 cdn_foc_19990205_0004 cte_foc_19990128_0015 cdn_foc_19990201_0019 cts_pol_19990206_0007 ctc_dep_19981121_0001 cts_foc_19990206_0002 cts_for_19980925_0010 cts_for_19980901_0006 chd_pol_19990203_0006 cts_pol_19990201_0001 cts_chi_19980828_0009 cts_foc_19990131_0001 chd_for_19980903_0001 cdn_chi_19981117_0011 cdn_foc_19990130_0005 cdn_foc_19981019_0020 cdn_foc_19980902_0005 cdn_foc_19990404_0009 cts_pol_19990303_0007 cte_foc_19990226_0002 cts_chi_19990425_0006 cts_pol_19990205_0019 cdn_chi_19981103_0012 cdn_foc_19980704_0009 chd_pol_19990129_0010 chd_pol_19981019_0003 cts_foc_19980902_0002 cdn_for_19981027_0002 cts_chi_19971229_0002 cts_for_19990504_0005 ctc_chi_19990227_0004 cts_chi_19980717_0001 cdn_foc_19980801_0001 chd_pol_19990201_0023 cts_pol_19980801_0008 cts_foc_19990204_0004 cts_foc_19990129_0019 cts_foc_19990129_0002 cts_foc_19981015_0002 ctc_foc_19990412_0008 cdn_chi_19980806_0002 cte_foc_19990203_0014 cts_pol_19990227_0013 cts_pol_19990302_0007 cdn_foc_19990205_0006 chd_chi_19990410_0002 cts_foc_19990210_0020 cdn_for_19990208_0001 cts_pol_19990210_0001 ctc_chi_19981118_0001 
13,cdn_foc_19990227_0023 cts_pol_19990122_0002 cdn_foc_19981122_0011 cdn_for_19990304_0002 cts_foc_19990319_0019 cdn_foc_19990321_0017 chd_chi_19990211_0001 cdn_foc_19990320_0021 cdn_foc_19990211_0004 cts_foc_19990227_0013 cts_chi_19990127_0011 cts_int_19990227_0001 cts_foc_19990112_0017 ctc_chi_19990211_0006 cdn_foc_19990214_0006 chd_pol_19990310_0005 chd_int_19990227_0004 cts_chi_19990330_0007 cts_chi_19990303_0005 cts_pol_19990211_0009 chd_int_19990319_0004 cdn_foc_19990316_0003 cts_chi_19990125_0008 chd_pol_19990310_0021 cdn_foc_19990204_0009 cts_foc_19990206_0006 cdn_foc_19990320_0020 cts_chi_19990329_0012 cts_chi_19990330_0008 cdn_foc_19990430_0010 cts_chi_19990128_0005 cte_foc_19990226_0002 cts_foc_19990227_0011 cts_chi_19990421_0003 cdn_foc_19980811_0009 cts_int_19980902_0004 cdn_foc_19990422_0010 chd_int_19981115_0001 cts_int_19980710_0002 cts_for_19980715_0008 cts_foc_19971002_0001 cts_int_19970412_0001 cdn_foc_19990316_0001 cts_foc_19981124_0010 cdn_foc_19990214_0007 chd_chi_19990219_0004 cts_foc_19990310_0008 cts_pol_19981223_0009 cdn_foc_19990426_0001 cts_foc_19990103_0007 ctc_chi_19990227_0003 cdn_foc_19990112_0024 chd_int_19990313_0001 cdn_foc_19990416_0001 chd_int_19981211_0002 chd_pol_19990321_0012 cdn_chi_19990325_0005 cts_chi_19990108_0006 cts_chi_19990422_0007 ctc_chi_19990227_0001 cts_pol_19990317_0007 cdn_foc_19990430_0001 chd_pol_19990211_0005 cdn_foc_19990319_0024 chd_pol_19990430_0001 cts_int_19980902_0008 cts_foc_19980514_0003 cte_foc_19990428_0014 cdn_foc_19990319_0027 cdn_foc_19981113_0020 cdn_foc_19980517_0021 cte_foc_19990429_0009 cdn_foc_19990325_0024 cte_foc_19990226_0001 cdn_foc_19990327_0005 ctc_chi_19990304_0004 chd_int_19981112_0002 cts_pol_19990114_0009 cdn_foc_19990226_0002 cts_int_19980711_0009 cts_pol_19990303_0003 cts_chi_19971002_0002 chd_pol_19990219_0001 chd_pol_19990421_0010 cdn_for_19990214_0002 cts_pol_19990325_0010 cts_chi_19990411_0006 chd_for_19990310_0001 cts_pol_19990303_0004 cts_foc_19980710_0010 cdn_foc_19990304_0002 cdn_foc_19980517_0020 cdn_foc_19990224_0011 cdn_foc_19980702_0010 chd_pol_19990430_0002 cts_foc_19990227_0018 cts_int_19980903_0002 cdn_for_19990115_0002 cts_for_19981202_0007 cts_foc_19990408_0014 
14,cts_int_19980908_0004 cdn_spo_19980907_0002 cts_int_19990121_0001 cts_int_19980422_0002 cts_int_19970808_0001 cts_int_19981209_0002 cdn_soc_19980908_0011 cts_int_19981026_0008 cts_int_19980114_0001 cts_int_19980723_0011 cdn_soc_19980724_0020 cts_int_19980827_0002 cdn_soc_19980724_0015 cts_soc_19981111_0018 cdn_soc_19980917_0013 cte_foc_19981212_0003 cts_int_19970808_0002 cts_int_19980208_0001 chd_edu_19981114_0001 cts_int_19980706_0010 cts_int_19980707_0007 cts_for_19981030_0008 cte_foc_19980911_0008 cdn_soc_19990116_0006 cts_soc_19981021_0011 chd_med_19981220_0005 cts_soc_19981001_0001 cdn_ent_19980530_0001 chd_soc_19980801_0028 cdn_foc_19990429_0012 cdn_soc_19980724_0019 chd_eco_19990209_0001 ctc_mnf_19990423_0004 chd_edu_19990104_0008 chd_eco_19990123_0013 cdn_soc_19981223_0015 cts_esy_19980811_0001 cts_soc_19981014_0009 cdn_foc_19990429_0014 ctc_mnf_19981216_0016 cts_int_19971220_0001 cte_foc_19980929_0002 chd_eco_19980911_0025 cts_for_19980909_0002 cdn_soc_19980906_0020 chd_eco_19980910_0003 cdn_soc_19990429_0013 chd_eco_19980917_0026 chd_soc_19990403_0012 cdn_soc_19981017_0012 cts_art_19980911_0003 cdn_soc_19990417_0003 chd_eco_19980531_0007 chd_edu_19981225_0016 chd_eco_19981202_0020 cts_int_19981010_0012 cts_int_19981210_0007 cdn_ent_19981231_0003 cdn_soc_19980808_0010 cts_foc_19990304_0015 chd_int_19981112_0004 chd_eco_19980911_0026 cts_for_19980606_0007 ctc_ser_19981013_0002 cts_for_19980909_0009 chd_eco_19980530_0018 cts_for_19981013_0003 chd_chi_19981223_0002 cts_int_19990429_0005 chd_med_19990118_0005 chd_eco_19981231_0005 chd_eco_19981201_0003 chd_eco_19980911_0024 chd_eco_19981212_0016 cts_art_19980613_0003 chd_edu_19990214_0004 cts_int_19981212_0007 cte_foc_19981004_0014 cdn_soc_19980605_0023 cts_for_19980607_0003 chd_soc_19980928_0019 cdn_ent_19990318_0007 chd_soc_19990205_0016 chd_int_19980917_0023 ctc_tec_19990505_0002 cdn_soc_19990317_0015 cte_foc_19990428_0015 chd_med_19980705_0011 chd_edu_19981223_0013 cts_soc_19990317_0007 cdn_edu_19990210_0002 cdn_soc_19980604_0019 chd_eco_19980923_0011 cts_art_19980812_0003 cts_for_19980917_0015 chd_for_19980606_0002 chd_edu_19980904_0020 cdn_ent_19980627_0003 chd_med_19980907_0032 cdn_soc_19980604_0003 
15,cts_int_19990221_0004 cts_int_19990329_0006 chd_int_19990413_0004 chd_int_19990327_0002 chd_int_19990328_0003 cts_int_19990422_0009 cts_int_19990504_0006 cts_for_19990406_0003 cts_foc_19990325_0013 chd_int_19990325_0002 chd_int_19990329_0004 cts_int_19990412_0010 cts_int_19990419_0006 cts_int_19990414_0007 cts_int_19990413_0008 cts_int_19980615_0006 cts_int_19990329_0005 cts_chi_19990507_0002 cts_int_19990421_0009 cts_int_19990330_0007 chd_int_19990416_0002 cdn_soc_19990330_0005 cts_int_19990220_0005 chd_int_19990416_0003 chd_int_19990328_0002 chd_int_19990413_0005 cts_int_19990221_0003 cts_int_19990414_0009 cts_foc_19990321_0018 cts_int_19990413_0007 cdn_foc_19990327_0008 cts_int_19980617_0003 chd_int_19990322_0001 cts_int_19990322_0003 cts_int_19990331_0006 cts_int_19990421_0007 cts_soc_19990327_0004 cts_int_19990327_0003 cts_int_19990404_0010 chd_int_19990421_0002 cdn_ent_19980626_0001 chd_int_19990327_0003 cts_int_19990325_0007 cdn_soc_19990330_0004 cts_int_19990329_0009 chd_int_19990408_0007 chd_for_19990327_0001 cts_int_19990418_0007 cdn_foc_19990406_0025 cdn_foc_19990327_0022 cts_foc_19990406_0012 cts_int_19990405_0006 cts_int_19981012_0003 cdn_foc_19990224_0001 cdn_foc_19990407_0030 cts_int_19981014_0001 chd_int_19990410_0003 cdn_foc_19990404_0028 cts_chi_19990222_0006 chd_int_19990414_0006 cts_int_19990324_0002 cdn_foc_19990325_0026 cte_foc_19990325_0010 ctc_eco_19990404_0007 cts_int_19980616_0007 cts_chi_19990214_0002 cts_int_19990405_0007 cts_int_19981013_0014 cts_int_19990315_0001 cts_int_19990131_0008 cdn_foc_19990406_0023 cdn_foc_19990327_0023 cts_int_19990228_0006 cts_int_19981010_0007 chd_int_19990410_0001 cts_int_19981012_0010 cts_int_19980629_0009 cdn_foc_19990329_0025 chd_int_19990419_0002 cts_int_19990424_0011 chd_int_19990508_0002 cts_int_19990413_0011 cdn_foc_19990327_0026 cdn_foc_19990327_0021 cts_foc_19990325_0014 chd_int_19990416_0004 cdn_foc_19990405_0022 cts_int_19990413_0009 ctc_eco_19990425_0007 cdn_foc_19990405_0024 cts_int_19981012_0002 cts_int_19981013_0005 cts_int_19990404_0012 cts_int_19990204_0001 chd_int_19990404_0006 cdn_ent_19980625_0002 chd_spo_19980627_0015 cts_int_19990130_0007 cts_int_19990412_0011 cts_int_19981027_0011 
16,cts_chi_19981218_0004 cdn_chi_19981101_0001 cdn_for_19981118_0002 chd_chi_19990109_0003 chd_chi_19990324_0001 ctc_chi_19980818_0005 cdn_chi_19981110_0004 cts_for_19980612_0002 cts_chi_19990307_0007 cdn_for_19981228_0002 ctc_chi_19981111_0010 cts_pol_19980824_0005 cdn_foc_19990103_0010 chd_pol_19981123_0003 ctc_esy_19980622_0001 cdn_chi_19990206_0005 ctc_chi_19980820_0009 chd_med_19980720_0009 cdn_chi_19981219_0003 cte_foc_19990203_0005 cdn_for_19980717_0001 chd_pol_19981103_0011 cts_chi_19990118_0007 cdn_foc_19990106_0008 chd_chi_19981231_0010 cdn_foc_19990106_0004 cte_foc_19980620_0013 cts_pol_19980824_0004 chd_pol_19980911_0009 cdn_edu_19990417_0007 chd_chi_19990103_0002 cdn_for_19980508_0001 cdn_foc_19980926_0007 cte_foc_19980929_0012 cts_soc_19980805_0008 ctc_esy_19980529_0001 cte_foc_19981027_0015 ctc_ser_19981115_0004 cdn_foc_19980524_0004 cts_chi_19981030_0001 chd_chi_19981030_0002 cdn_for_19990318_0001 cts_chi_19981225_0003 cte_foc_19981227_0008 ctc_dep_19980909_0006 chd_int_19990118_0001 cdn_foc_19980605_0008 cts_chi_19981225_0005 ctc_chi_19981026_0007 chd_chi_19981106_0007 chd_pol_19980911_0015 chd_pol_19980910_0022 cts_esy_19981222_0002 cts_esy_19980831_0002 cdn_foc_19980903_0004 ctc_foc_19981028_0006 cdn_eco_19980804_0002 ctc_foc_19990103_0012 cts_esy_19990304_0002 cts_foc_19980716_0004 cts_chi_19981008_0002 cte_foc_19990115_0001 chd_for_19990319_0001 cts_pol_19981021_0007 cts_foc_19980903_0009 chd_eco_19980814_0011 cts_for_19980606_0008 chd_pol_19981220_0001 cdn_foc_19980909_0014 cts_soc_19981021_0012 cts_for_19981018_0004 cdn_foc_19980819_0004 chd_pol_19980523_0001 cts_pol_19990103_0004 cdn_foc_19980807_0001 ctc_foc_19980819_0011 chd_pol_19990217_0014 chd_chi_19990116_0002 cts_int_19990510_0004 ctc_foc_19990424_0007 chd_pol_19980903_0002 cts_esy_19980711_0002 cdn_foc_19980827_0023 cdn_chi_19990103_0001 chd_chi_19981203_0001 cts_for_19990428_0007 cdn_foc_19980731_0005 cts_eco_19990424_0004 chd_pol_19990113_0020 cdn_chi_19990116_0006 cts_for_19980904_0006 chd_eco_19990225_0025 cdn_foc_19980621_0011 cdn_foc_19980909_0009 cts_chi_19980702_0004 cts_eco_19980814_0014 cts_soc_19980702_0003 chd_ent_19981109_0007 cdn_foc_19980521_0021 ctc_foc_19990315_0006 
17,chd_med_19980925_0001 cdn_soc_19990226_0011 cts_soc_19980810_0003 cts_soc_19980802_0009 cts_int_19990203_0004 cts_soc_19970524_0001 cts_soc_19990228_0015 chd_med_19981121_0002 cdn_soc_19980802_0012 chd_med_19981111_0014 cts_soc_19980810_0016 cdn_soc_19981009_0011 chd_med_19990301_0004 cdn_soc_19980909_0015 chd_med_19990301_0005 chd_med_19980720_0008 chd_med_19990407_0001 cdn_soc_19981215_0008 cdn_soc_19980804_0012 chd_chi_19990417_0003 cte_foc_19980803_0002 chd_med_19981009_0005 cdn_soc_19990226_0009 cts_for_19981011_0005 chd_med_19980814_0002 chd_med_19981121_0003 cte_foc_19980814_0015 cdn_soc_19980710_0014 cdn_soc_19980812_0015 chd_med_19990331_0001 cdn_soc_19980608_0008 cdn_soc_19980818_0014 cdn_soc_19980802_0013 chd_med_19990114_0001 cts_soc_19990228_0016 chd_med_19980808_0001 cdn_soc_19990113_0014 chd_med_19981128_0002 chd_med_19980815_0009 chd_med_19990407_0002 cts_soc_19981009_0011 cdn_soc_19990331_0006 chd_med_19990113_0009 cts_soc_19980518_0013 cdn_soc_19990331_0005 cts_soc_19980815_0015 chd_med_19980812_0003 cts_soc_19980808_0002 cdn_ent_19980518_0004 chd_med_19980818_0002 chd_med_19980815_0001 chd_med_19980826_0001 cdn_soc_19981215_0009 chd_med_19980819_0004 chd_med_19981120_0003 chd_for_19981217_0002 chd_for_19981202_0001 chd_for_19980813_0002 cts_soc_19980812_0008 chd_med_19981215_0001 chd_chi_19981030_0004 cdn_chi_19980521_0006 chd_med_19990213_0003 cdn_soc_19980815_0015 chd_med_19980812_0004 chd_int_19980706_0004 chd_med_19980818_0001 chd_int_19981126_0006 cdn_soc_19980531_0001 cts_soc_19981201_0005 cdn_soc_19990428_0018 cts_soc_19980804_0001 cdn_soc_19990318_0001 chd_med_19980922_0015 cts_soc_19980815_0018 cdn_soc_19980814_0016 cts_soc_19971202_0001 cts_soc_19990301_0026 cdn_soc_19980530_0003 cts_soc_19990331_0007 chd_med_19990318_0011 cte_foc_19981214_0002 chd_med_19981114_0013 chd_med_19980829_0001 cts_soc_19981119_0002 cts_ent_19980813_0013 cts_soc_19980814_0019 chd_edu_19980904_0003 chd_med_19980804_0003 cdn_soc_19990318_0002 chd_med_19980728_0005 chd_med_19980819_0002 cts_int_19990201_0009 cts_for_19980811_0002 chd_med_19990227_0004 chd_med_19980706_0004 chd_med_19980816_0003 cts_soc_19980815_0014 cts_int_19990407_0001 cdn_soc_19981201_0019 
18,cts_for_19990405_0003 chd_soc_19981009_0008 ctc_dep_19981202_0001 ctc_foc_19980606_0013 cdn_soc_19990416_0001 chd_soc_19981225_0012 chd_edu_19980529_0003 cts_soc_19981208_0003 chd_eco_19980609_0015 cts_for_19980611_0003 cdn_soc_19980609_0020 chd_soc_19990430_0007 ctc_dep_19990412_0002 chd_soc_19980601_0007 cts_for_19980925_0001 chd_eco_19980609_0016 cte_foc_19981008_0004 ctc_dep_19980824_0001 chd_edu_19981208_0004 ctc_dep_19981208_0007 chd_for_19981209_0003 ctc_mnf_19980907_0007 cts_soc_19981208_0002 ctc_dep_19990412_0001 ctc_foc_19981207_0005 ctc_dep_19990424_0006 chd_edu_19980705_0010 cdn_eco_19990112_0007 ctc_mnf_19981216_0014 ctc_dep_19981031_0007 cdn_soc_19980716_0020 chd_soc_19981110_0010 cte_foc_19990331_0001 chd_chi_19990307_0001 chd_soc_19980930_0016 cdn_eco_19990402_0005 ctc_foc_19980814_0004 chd_edu_19980723_0003 ctc_foc_19980719_0001 ctc_dep_19990407_0004 ctc_dep_19980729_0006 cdn_chi_19990307_0002 chd_edu_19980618_0001 chd_pol_19990429_0019 ctc_dep_19981208_0006 cdn_eco_19980607_0003 ctc_dep_19990414_0005 chd_eco_19990112_0027 chd_edu_19981021_0001 cts_for_19980703_0007 cts_eco_19990401_0006 ctc_dep_19990401_0005 cts_foc_19980615_0007 cdn_eco_19981208_0012 cts_esy_19981210_0002 cts_chi_19981223_0004 chd_med_19980928_0015 cts_foc_19981210_0009 cts_for_19990412_0002 cdn_soc_19981211_0003 cts_for_19990208_0001 chd_edu_19980611_0001 cdn_chi_19981021_0005 chd_edu_19990424_0009 cts_chi_19990321_0008 cdn_foc_19981102_0026 cts_soc_19990414_0012 cdn_eco_19990401_0003 cts_foc_19990301_0004 chd_med_19980904_0015 cts_soc_19990506_0010 chd_edu_19981210_0012 cdn_chi_19981204_0002 ctc_foc_19990426_0009 cdn_chi_19981006_0006 chd_edu_19990108_0002 ctc_foc_19990315_0014 cts_foc_19981211_0008 chd_med_19990421_0003 cts_for_19980916_0003 chd_edu_19981009_0010 chd_eco_19980609_0017 cdn_foc_19981210_0016 chd_soc_19981028_0020 cdn_foc_19990410_0023 cts_soc_19990413_0010 cdn_eco_19980827_0006 chd_med_19980907_0012 cts_for_19980704_0004 chd_soc_19981204_0009 cts_foc_19981211_0009 cts_chi_19990304_0002 chd_edu_19981113_0002 cts_for_19990420_0005 ctc_foc_19990505_0012 cdn_soc_19990129_0002 ctc_foc_19990228_0003 chd_for_19990501_0001 cdn_soc_19981105_0016 cts_eco_19990407_0014 
19,ctc_tec_19980918_0001 ctc_sto_19981015_0016 ctc_eco_19990115_0002 ctc_tec_19981225_0001 ctc_tec_19980718_0003 ctc_tec_19981006_0009 ctc_tec_19980804_0009 ctc_sto_19981106_0003 ctc_cgo_19980824_0005 ctc_tec_19981029_0006 ctc_mnf_19980816_0002 ctc_sto_19980915_0032 chd_med_19980618_0006 ctc_eco_19981016_0002 ctc_chi_19990129_0005 cts_eco_19981122_0007 ctc_foc_19980704_0012 ctc_chi_19980622_0001 chd_med_19990414_0008 ctc_mnf_19990124_0004 cdn_eco_19981223_0005 ctc_fin_19981012_0008 ctc_mnf_19990221_0001 cts_eco_19980804_0010 cts_eco_19980820_0007 ctc_tec_19981005_0003 ctc_tec_19981127_0010 ctc_tec_19981029_0007 ctc_tec_19990129_0010 ctc_ser_19980930_0002 chd_eco_19990120_0026 ctc_tec_19980911_0001 ctc_cgo_19980820_0005 ctc_sto_19980927_0013 ctc_tec_19980522_0004 ctc_tec_19990209_0003 ctc_tec_19981030_0005 ctc_foc_19990321_0005 ctc_eco_19980616_0006 chd_pol_19990429_0009 ctc_tec_19990209_0002 chd_eco_19990101_0015 ctc_tec_19980821_0006 cts_ent_19981029_0004 ctc_tec_19980814_0001 ctc_eco_19990107_0002 ctc_fin_19981123_0008 ctc_tec_19980917_0001 ctc_tec_19990104_0001 cts_eco_19980903_0001 ctc_tec_19981221_0009 cdn_eco_19980529_0001 ctc_tec_19981113_0008 ctc_dep_19981104_0002 ctc_dep_19990420_0003 cdn_eco_19990102_0012 ctc_sto_19981107_0009 ctc_tec_19980713_0003 ctc_tec_19981020_0006 ctc_foc_19990319_0006 ctc_dep_19980918_0001 ctc_ser_19990204_0002 ctc_sto_19980918_0022 ctc_fin_19980926_0007 ctc_tec_19980918_0002 chd_ent_19980821_0007 chd_eco_19990310_0003 ctc_dep_19980713_0005 ctc_tec_19981005_0004 ctc_chi_19980713_0005 ctc_eco_19990318_0003 ctc_ser_19981126_0004 cts_eco_19981020_0006 chd_eco_19981122_0014 ctc_ser_19980930_0001 cts_int_19981020_0005 cts_eco_19980615_0004 ctc_tec_19990322_0001 cts_eco_19980711_0001 ctc_tec_19981113_0004 ctc_tec_19990208_0004 chd_med_19990215_0008 cdn_for_19980629_0002 cdn_chi_19980713_0002 cts_eco_19990118_0005 cte_sto_19980820_0004 cte_foc_19990120_0005 ctc_eco_19980725_0005 ctc_dep_19990302_0002 ctc_cgo_19981218_0003 cts_foc_19980712_0010 ctc_sto_19990422_0024 ctc_cgo_19980907_0005 ctc_tec_19980828_0001 ctc_tec_19990309_0009 cts_eco_19980603_0012 chd_eco_19981020_0012 chd_pol_19981230_0014 chd_eco_19980928_0016 chd_eco_19980620_0021 
20,ctc_ser_19980602_0006 ctc_foc_19980928_0013 ctc_foc_19980926_0012 cte_sto_19980928_0001 cdn_eco_19990419_0005 ctc_sto_19980820_0028 ctc_eco_19981218_0007 cts_eco_19980526_0011 cts_eco_19980730_0014 cdn_foc_19980617_0027 ctc_foc_19980614_0004 ctc_foc_19980525_0011 ctc_foc_19980926_0011 ctc_tec_19980908_0003 ctc_fin_19980701_0005 ctc_ser_19990304_0007 ctc_sto_19990310_0022 ctc_sto_19981027_0014 ctc_eco_19980915_0006 chd_eco_19980831_0006 ctc_eco_19981224_0004 ctc_sto_19980915_0013 cts_eco_19980616_0005 chd_eco_19980529_0006 chd_eco_19981127_0002 cts_int_19990315_0002 cdn_eco_19990419_0008 ctc_sto_19981017_0019 ctc_tec_19990506_0001 ctc_eco_19981109_0004 ctc_fin_19981026_0001 ctc_eco_19980930_0004 chd_eco_19980930_0013 ctc_fin_19980914_0009 cts_eco_19980831_0003 chd_soc_19990310_0006 ctc_fin_19981229_0003 ctc_fin_19981024_0008 cdn_eco_19980924_0013 chd_soc_19980724_0028 cts_eco_19980921_0012 cts_eco_19990323_0003 cdn_eco_19980529_0006 cdn_eco_19980929_0014 cdn_eco_19980914_0004 ctc_fin_19990104_0005 chd_eco_19980913_0019 ctc_chi_19980605_0005 cdn_eco_19980615_0006 ctc_fin_19990127_0009 cts_eco_19981207_0002 ctc_ser_19980703_0004 cts_eco_19980926_0007 chd_eco_19980521_0007 cdn_eco_19981008_0012 ctc_fin_19980807_0009 ctc_sto_19981116_0016 ctc_fin_19980831_0005 cdn_eco_19990419_0007 cdn_eco_19980831_0006 ctc_fin_19990323_0010 ctc_dep_19981126_0005 ctc_fin_19990401_0004 ctc_fin_19980615_0003 cdn_for_19980530_0001 ctc_chi_19980912_0004 ctc_ser_19980523_0003 cdn_eco_19980930_0014 cts_eco_19981109_0002 ctc_fin_19981030_0012 ctc_ser_19981014_0006 cdn_eco_19980924_0028 chd_eco_19980730_0007 ctc_fin_19980824_0004 ctc_sto_19980720_0013 ctc_dep_19981020_0001 chd_eco_19980617_0008 ctc_fin_19980715_0007 ctc_sto_19980606_0013 ctc_fin_19980702_0014 ctc_ser_19981014_0004 cdn_eco_19990419_0009 ctc_fin_19980721_0004 ctc_eco_19980527_0004 cdn_eco_19980615_0008 ctc_fin_19980525_0010 cdn_eco_19980926_0014 ctc_dep_19981007_0001 ctc_fin_19980520_0004 ctc_sto_19990227_0018 ctc_ser_19990501_0002 chd_eco_19981030_0005 cts_eco_19980404_0002 chd_pol_19980612_0033 cdn_eco_19980730_0013 ctc_sto_19981125_0015 cdn_eco_19980720_0008 ctc_foc_19980729_0002 ctc_fin_19990401_0008 ctc_foc_19980613_0005 
